id	group
gatA_pro	protein
PMED4_10621_pro	protein
ureC_pro	protein
rpsU_pro	protein
PMED4_11181_pro	protein
PMED4_11211_pro	protein
purT_pro	protein
btuE_pro	protein
PMED4_11351_pro	protein
PMED4_11871_pro	protein
chlI_pro	protein
trxA_pro	protein
guaB_pro	protein
gyrA_pro	protein
ispA_pro	protein
PMED4_12191_pro	protein
zwf_pro	protein
PMED4_12251_pro	protein
prsA_pro	protein
cad_pro	protein
psbP_pro	protein
srmB_pro	protein
pdxJ_pro	protein
PMED4_12571_pro	protein
PMED4_12591_pro	protein
pntB_pro	protein
pntA_pro	protein
PMED4_13161_pro	protein
psbD_pro	protein
psbC_pro	protein
glyQ_pro	protein
PMED4_13301_pro	protein
PMED4_13311_pro	protein
isiB_pro	protein
sppA_pro	protein
PMED4_13501_pro	protein
PMED4_13521_pro	protein
rpsN_pro	protein
pnp_pro	protein
PMED4_13651_pro	protein
PMED4_13771_pro	protein
PMED4_13781_pro	protein
gmhA_pro	protein
rfaE_pro	protein
PMED4_13961_pro	protein
PMED4_13971_pro	protein
adhC_pro	protein
PMED4_14001_pro	protein
PMED4_14011_pro	protein
hetA_pro	protein
PMED4_14111_pro	protein
PMED4_14121_pro	protein
PMED4_14241_pro	protein
argF_pro	protein
PMED4_14301_pro	protein
pheS_pro	protein
phoH_pro	protein
ffh_pro	protein
PMED4_14531_pro	protein
trpC_pro	protein
lpd_pro	protein
ftsZ_pro	protein
panB_pro	protein
PMED4_14801_pro	protein
PMED4_14811_pro	protein
ilvC_pro	protein
himA_pro	protein
PMED4_14941_pro	protein
PMED4_14981_pro	protein
pepB_pro	protein
lpxA_pro	protein
fabZ_pro	protein
PMED4_15061_pro	protein
nblS_pro	protein
rpmA_pro	protein
PMED4_15181_pro	protein
serA_pro	protein
PMED4_16171_pro	protein
pyrR_pro	protein
groEL_pro	protein
groES_pro	protein
atpD_pro	protein
atpC_e_pro	protein
atpA_pro	protein
atpH_pro	protein
atpG_pro	protein
atpE_pro	protein
glnB_pro	protein
BioA_pro	protein
PMED4_16891_pro	protein
rpoC2_pro	protein
rpoB_pro	protein
rpsT_pro	protein
nusA_pro	protein
PMED4_17101_pro	protein
rne_pro	protein
rpsJ_pro	protein
fusA_pro	protein
rpsL_pro	protein
gltB_pro	protein
psaL_pro	protein
psaB_pro	protein
psaA_pro	protein
rplQ_pro	protein
rpoA_pro	protein
rpsK_pro	protein
rpsM_pro	protein
adk_pro	protein
rplO_pro	protein
rpsE_pro	protein
rplF_pro	protein
rpsH_pro	protein
rplE_pro	protein
rpsQ_pro	protein
rplP_pro	protein
rplV_pro	protein
rpsS_pro	protein
rplB_pro	protein
rplC_pro	protein
recA_pro	protein
PMED4_17781_pro	protein
rnd_pro	protein
icd_pro	protein
glgP_pro	protein
psaC_pro	protein
acpP_pro	protein
tktA_pro	protein
thiC_pro	protein
lysS_pro	protein
PMED4_18291_pro	protein
mreB_pro	protein
ssb_pro	protein
sam1_pro	protein
mgtE_pro	protein
